Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status,Age,Pieces,Rating,Rating Count
lego-42219-lego-technic-42219-monster-jam-grave-digger-fire-and-ice-263-pieces-building-blocks,"LEGO Technic 42219 Monster Jam Grave Digger Fire and Ice (263 pieces), Building Blocks","MONSTER JAM™ GRAVE DIGGER™ BUILDING TOY – Launch into fun with this LEGO® Technic™ Monster Jam Grave Digger Fire and Ice (42219) pull-back truck for boys, girls and kids ages 7 years old and up
MONSTER TRUCK TOY WITH PULL-BACK ACTION – Simply pull back and let the excitement roll as kids recreate the exciting tricks and stunts they’ve seen in the Monster Jam™ arena
FIRE AND ICE DETAILS – This monster truck toy captures the bold details of the real Grave Digger™ Fire and Ice truck with fire and flames on one side and an icy design on the other side
ENCOURAGES CREATIVE PLAY – Kids can create their own epic Monster Jam™ events and adventures as they play with their truck toy
GIFT IDEA FOR KIDS – This LEGO® Technic™ building set makes a fun monster truck gift for boys and girls ages 7 years old and up who love Monster Jam™ and pull-back vehicles
DISCOVER MORE SETS – Explore more action-packed play with the range of LEGO® Technic™ sets (sold separately) which feature realistic movement and mechanisms to inspire young builders
A FUN WAY TO BUILD – The LEGO® Builder app guides kids on an intuitive building adventure where they can save sets, track progress and zoom in and rotate models using 3D instructions as they build
DIMENSIONS – A 263-piece set with a truck model measuring over 4 in. (11 cm) high, 7 in. (18 cm) long and 4 in. (11 cm) wide",LEGO,Technic,Technic,TRUE,Title,Default Title,42219,5702018035023,shopify,0,deny,manual,2299.00,,TRUE,TRUE,,,active,7+,263,,
lego-31380-lego-creator-3-in-1-31380-retro-gaming-console-268-pieces-building-blocks,"LEGO Creator 3 in 1 31380 Retro Gaming Console (268 pieces), Building Blocks","3 IN 1 GAMER ROOM DECOR – LEGO® Creator 3 in 1 Retro Gaming Console (31380) building toy lets boys, girls and gamers ages 8 plus build and rebuild 3 different retro gaming toys with the same bricks
ENDLESS PRETEND PLAY OPTIONS – Kids can play out stories with 3 creative toys (models cannot be built simultaneously): a gaming console, a mini computer toy or a mini arcade game machine
GAMING COLLECTIBLES WITH FUN FEATURES – Gaming console has 2 buttons and 2 joysticks, plus a choice of 3 game cartridges to insert, computer has a keyboard and arcade game machine has iconic details
GREAT FOR PLAY AND DISPLAY – When playtime is over, each LEGO® Creator retro gaming toy can be displayed as gamer room decor for boys and girls to share with family
GIFT FOR GAMERS – This LEGO® Creator 3 in 1 set makes a great gift idea for kids ages 8 and up, or a gift for gamers and nostalgic adults who love retro tech
MORE 3 IN 1 FUN – Enjoy even more building adventures with other sets (sold separately) from the extensive LEGO® Creator 3 in 1 range
FEED YOUR KID’S PASSION – Every 3 in 1 set gives kids 3 different building options inspired by their biggest passions, including animals, vehicles and houses
DIMENSIONS – This 268-piece gamer room decor building set features a retro gaming console toy measuring over 3 in. (8 cm) high, 1.5 in. (4 cm) long and 5 in. (12 cm) wide",LEGO,Creator 3 in 1,Creator 3 in 1,TRUE,Title,Default Title,31380,5702018054734,shopify,0,deny,manual,1499.00,,TRUE,TRUE,,,active,8+,268,,
lego-10477-lego-duplo-10477-3-in-1-creative-cute-pets-24-pieces-building-blocks,"LEGO DUPLO 10477 3 in 1 Creative Cute Pets (24 pieces), Building Blocks","Learning toy for toddlers – Fill playtimes with color and creativity with the 3 in 1 Creative Cute Pets (10477), where little builders can learn colors making a range of LEGO® DUPLO® animals toys
CREATIVE BUILDING OPTIONS – Kids ages 18 months and up practice fine motor skills building a toy cat, dog, rabbit, mouse, 2 birds or 2 fish – or any creature of their own invention
EASY BUILDING – Each animal toy for young kids is made from big, easy-to-handle, color-coded LEGO® DUPLO® bricks and has clear facial features to help even the littlest builders create their favorite pet
TODDLER LEARNING ACTIVITIES – This playset can help young boys and girls grow perseverance trying out brick combinations while building their perfect pet and learning colors as they match the bricks
GIFT IDEA – The versatile LEGO® DUPLO® building set makes a fun small birthday gift for kids ages 18 months old and up or very young animal toy fans
SAFE WAY TO PLAY – The bricks and pieces that make up this creative LEGO® DUPLO® set are fully tested to ensure that it meets the highest global safety standards
GIFTS FOR PLAYING AND LEARNING – LEGO® DUPLO® imagination toys help toddlers make sense of the world around them as they build and pretend play with their parents and caregivers
DIMENSIONS – This 24-piece set includes a buildable dog figure for very young kids that stands over 4 in. (11 cm) tall",LEGO,DUPLO,DUPLO,TRUE,Title,Default Title,10477,5702018032039,shopify,0,deny,manual,749.00,,TRUE,TRUE,,,active,1½+,24,,
lego-60482-lego-city-60482-rides-fire-truck-67-pieces-building-blocks,"LEGO City 60482 Rides – Fire Truck (67 pieces), Building Blocks","FIREFIGHTER TOY FOR AGES 5+ – Ignite exciting rescue adventures with this easy-to-build LEGO® City Rides – Fire Truck (60482) toy for kids
EASY TO BUILD TOY VEHICLE – This mini building kit includes everything young builders need to create their very own toy fire truck and LEGO® City Rides junior minifigure.
CAR TOYS FOR CREATIVE PLAY – The miniature model fire truck features an iconic design with chunky rubber tires and a raisable fire ladder for imaginative play and storytelling
FIREFIGHTER JUNIOR MINIFIGURE – Kids can pop the mini firefighter into the driver’s seat before setting out on exciting fire rescue missions
SMALL GIFT – This take-along toy makes a great anytime treat or birthday gift for boys, girls and kids ages 5 and up
PART OF THE LEGO® CITY RIDES COLLECTION – Kids can unleash more fun and adventures when they add this fire truck toy to other sets (sold separately) from the LEGO City range
A FUN WAY TO BUILD – The LEGO® Builder app guides kids on an intuitive building adventure where they can save sets, track progress and zoom in and rotate models using 3D instructions while they build
DIMENSIONS – The toy emergency vehicle in this 67-piece LEGO® City Rides building set measures over 2 in. (6 cm) high, 3 in. (8 cm) long and 2 in. (5 cm) wide",LEGO,City,City,TRUE,Title,Default Title,60482,5702018031872,shopify,0,deny,manual,699.00,,TRUE,TRUE,,,active,5+,67,,
lego-76330-lego-super-heroes-dc76330-batman-logo-678-pieces-building-blocks,"LEGO Super Heroes DC76330 Batman Logo (678 pieces), Building Blocks","BATMAN™ DECOR BUILDING TOY – Celebrate the 20th anniversary of LEGO® DC Batman with the Batman Logo (76330) collectible Super Hero merch to build and display
2 BATMAN™ MINIFIGURES – Includes a commemorative golden Batman minifigure and golden anniversary coin, plus a classic Batman minifigure which can fit into an opening hatch at the center of the model
BUILD AND DISPLAY – Show off this iconic piece of Batman™ room decor, which can be displayed on its sturdy stand or mounted on a wall using the built-in support
AUTHENTIC ACCESSORIES – The Bat-Signal™ sign has a greeble finish featuring accessories from the DC Universe which can be removed and repositioned, including Batarangs™ and the Harley Quin™ hammer
BATMAN™ GIFT FOR TEENS – Give fans of LEGO® building, Super Hero playsets and DC merch this birthday, holiday or any-day gift for boys, girls and kids ages 12 and up
A FUN WAY TO BUILD – The LEGO® Builder app guides kids on an intuitive building adventure where they can save sets, track progress and zoom in and rotate models using 3D instructions as they build
MORE LEGO® DC SETS – Inspire endless imaginative, play-and-display fun with the extensive range of LEGO DC Super Hero building toys
DIMENSIONS – The 678-piece LEGO® DC Batman™ Logo building set measures over 9 in. (23 cm) high, 14 in. (36 cm) wide and 3.5 in. (9 cm) deep",LEGO,Super Heroes,Super Heroes,TRUE,Title,Default Title,76330,5702018063132,shopify,0,deny,manual,6499.00,,TRUE,TRUE,,,active,12+,678,,
lego-10348-lego-botanicals-10348-japanese-red-maple-bonsai-tree-age-18-building-blocks-2025-474pcs,"LEGO Botanicals 10348 Japanese Red Maple Bonsai Tree, Age 18+, Building Blocks, 2025 (474pcs)","• LEGO® bonsai tree – Relax and unwind with the LEGO Botanicals Japanese Red Maple Bonsai Tree building kit for adults, which is packed with authentic details
• Fall colors – Capturing the vibrancy of nature, the LEGO® tree features red- and amber-colored leaves and sits in a dark green plant pot for easy display
• Nature-inspired project – The set provides an immersive project for nature or plant lovers, who will enjoy building the LEGO® plant and marveling at its lifelike appearance
• Plant decor – Bring a touch of tranquility to your living or working space by using the tree as home or office decor that will never wilt or need to be watered
• Tree gift – This LEGO® building set for adults makes a great housewarming gift, Valentine’s Day gift or birthday gift for men, women and plant lovers
• Build more blooms – This brick-built plant can be combined with other sets (sold separately) in the LEGO® Botanicals collection, which includes other trees and LEGO flowers
• LEGO® Builder app – This set includes printed and digital versions of the building instructions for an immersive building experience
• Dimensions – The set includes 474 pieces and measures over 9.5 in. (24 cm) high, 8.5 in. (22 cm) wide and 10 in. (26 cm) deep",LEGO,Botanicals,Botanicals,TRUE,Title,Default Title,10348,5702017814674,shopify,0,deny,manual,4499.00,,TRUE,TRUE,,,active,18+,474,,
lego-31214-lego-art-31214-love-age-18-building-blocks-2025-791pcs,"LEGO ART 31214 Love, Age 18+, Building Blocks, 2025 (791pcs)","• Brick-built gift for couples – Create your own small version of Robert Indiana’s famous LOVE sculpture with this LEGO® Art building set for adults• LEGO® home decor idea – This LEGO interpretation of the LOVE sculpture makes an impressive display item in any room of your home• Celebration of an icon – This brick-built 3D LOVE model is similar to the famous real-life sculpture, featuring the same design and vibrant red, blue and green colors• Engagement gift for couples – Give this brick-built LOVE model as an engagement, wedding, Mother’s Day or Valentine’s Day gift to loved ones who enjoy creative activities• A social building experience – This home decor idea comes with 2 building instructions so you can create your buildable LOVE model with a friend or family member• LEGO® Art sets for adults – The LEGO Art range gives adults the chance to create brick-built artworks inspired by some of their biggest passions to display at home or in the office• Dimensions – This premium brick-built 3D LOVE model has 791 pieces and measures over 10 in. (25 cm) high, 10 in. (25 cm) wide and 2.5 in. (6 cm) deep",LEGO,ART,ART,TRUE,Title,Default Title,31214,5702017814698,shopify,0,deny,manual,5999.00,,TRUE,TRUE,,,active,18+,791,,
lego-43011-lego-editions-sports-43011-lionel-messi-soccer-highlights-500-pieces-building-blocks,"LEGO Editions Sports 43011 Lionel Messi – Soccer Highlights (500 pieces), Building Blocks","SOCCER BUILDING SET FOR KIDS – Score a creative goal with the LEGO® Editions Lionel Messi – Soccer Highlights (43011) for boys, girls and sports fans ages 10 and up
SPORTS FAN MERCHANDISE – The base is formed in the shape of Messi's initial and features the colors of the Argentinian team, a number 10, and a collectible plaque with player stats and Messi's name
LEGO® SOCCER PLAYER MINIFIGURE – A Lionel Messi minifigure brings the scene to life and the set includes lots of Easter eggs that nod to his background and career
SOCCER DECOR – This display model becomes a piece of collectible sports decor that kids can show off on its own or alongside other LEGO® Editions Soccer Highlights sets (sold separately)
GIFT FOR SPORTS LOVERS – The set makes a great gift for boys, girls and soccer fans on birthdays, holidays and other special occasions
LEGO® EDITIONS – Show your love for more legendary sports stars with other sets (sold separately) in the collection
A HELPING HAND – Budding soccer stars can access instructions digitally in the LEGO® Builder app, where they can track progress and zoom in and rotate their soccer model in 3D
DIMENSIONS – The 500-piece Messi display set measures over 5 in. (13 cm) high, 9.5 in. (24 cm) wide and 6 in. (15 cm) deep",LEGO,Editions Sports,Editions Sports,TRUE,Title,Default Title,43011,5702018069516,shopify,0,deny,manual,2099.00,,TRUE,TRUE,,,active,10+,500,,
lego-43012-lego-editions-sports-43012-cristiano-ronaldo-soccer-highlights-490-pieces-building-blocks,"LEGO Editions Sports 43012 Cristiano Ronaldo – Soccer Highlights (490 pieces), Building Blocks","SOCCER BUILDING SET FOR KIDS – Let kids pay tribute to an icon with the LEGO® Editions Cristiano Ronaldo – Soccer Highlights (43012) for boys and girls ages 10 and up
SPORTS FAN MERCHANDISE – The base forms the shape of Cristiano Ronaldo's initial and features the colors of the Portuguese team, a large CR7, and a collectible plaque with player stats and Cristiano Ronaldo's signature
LEGO® SOCCER PLAYER MINIFIGURE – A Cristiano Ronaldo minifigure brings the scene to life and there are lots of Easter eggs that nod to his background and career
COLLECTIBLE SOCCER DECOR – The assembled display model becomes sports decor that fans can show off on its own or alongside other LEGO® Editions Soccer Highlights sets, sold separately
GIFT FOR SPORTS LOVERS – The LEGO® soccer set makes a great gift or treat for boys, girls and Cristiano Ronaldo fans on birthdays and special occasions
LEGO® EDITIONS COLLECTION – Show your love for more legendary soccer stars with other sets, sold separately
A HELPING HAND – Budding soccer stars can access instructions digitally in the LEGO® Builder app, where they can track progress and rotate their soccer model in 3D
DIMENSIONS – The 490-piece display model measures over 4.5 in. (11 cm) high, 8 in. (21 cm) wide and 6.5 in. (17 cm) deep",LEGO,Editions Sports,Editions Sports,TRUE,Title,Default Title,43012,5702018069523,shopify,0,deny,manual,2099.00,,TRUE,TRUE,,,active,10+,490,,
lego-43013-lego-editions-sports-43013-kylian-mbapp-soccer-highlights-490-pieces-building-blocks,"LEGO Editions Sports 43013 Kylian Mbappé – Soccer Highlights (490 pieces), Building Blocks","SOCCER BUILDING SET FOR KIDS – Celebrate a soccer star with the LEGO® Editions Kylian Mbappé – Soccer Highlights (43013) for boys, girls and sports lovers ages 10 and up
SPORTS FAN MERCHANDISE – The base of the model forms Mbappé’s initial and the set features the number 10, the colors of the French team and a collectible plaque displaying his stats and signature
LEGO® SOCCER PLAYER MINIFIGURE – A Kylian Mbappé minifigure brings the scene to life and there's a collection of Easter eggs that nod to his history and career
COLLECTIBLE SOCCER DECOR – Show the display model off as sports decor on its own or alongside other LEGO® Editions Soccer Highlights sets, sold separately
GIFT FOR SPORTS LOVERS – The building kit makes a cool soccer gift for boys, girls and Kylian Mbappé fans on birthdays, holidays and other special occasions
LEGO® EDITIONS COLLECTION – Show your love for more legendary soccer stars with other sets, sold separately
A HELPING HAND – Budding soccer stars can access instructions digitally in the LEGO® Builder app, where they can track progress and rotate their soccer model in 3D
DIMENSIONS – The 490-piece display model measures over 5 in. (13 cm) high, 9.5 in. (24 cm) wide and 6 in. (15 cm) deep",LEGO,Editions Sports,Editions Sports,TRUE,Title,Default Title,43013,5702018069530,shopify,0,deny,manual,2099.00,,TRUE,TRUE,,,active,10+,490,,
lego-43027-lego-editions-sports-43027-vini-jr-soccer-highlights-510-pieces-building-blocks,"LEGO Editions Sports 43027 Vini Jr. – Soccer Highlights (510 pieces), Building Blocks","SOCCER BUILDING SET FOR KIDS – Celebrate a Brazilian soccer star with the LEGO® Editions Vini Jr. – Soccer Highlights (43027) for boys, girls and sports lovers ages 10 and up
SPORTS FAN MERCHANDISE – The base forms Vini’s initial and features the colors of the Brazilian team and his jersey number, plus a collectible plaque displaying his signature and player stats
LEGO® SOCCER PLAYER MINIFIGURE – A Vini Jr. minifigure brings the soccer merch set to life and is depicted in his signature goal scoring pose
COLLECTIBLE SOCCER DECOR – Once the model is built, it becomes a piece of sports decor that fans can display on its own or alongside other LEGO® Editions Soccer Highlights sets, sold separately
GIFT FOR SPORTS LOVERS – The creative kit makes a great sports gift for boys, girls and soccer fans on birthdays and special occasions
LEGO® EDITIONS COLLECTION – Show your love for more legendary soccer stars with other sets, sold separately
A HELPING HAND – Budding soccer stars can access instructions digitally in the LEGO® Builder app, where they can track progress and rotate their soccer model in 3D
DIMENSIONS – The 510-piece display model measures over 4 in. (10 cm) high, 7.5 in. (19 cm) wide and 6.5 in. (16 cm) deep",LEGO,Editions Sports,Editions Sports,TRUE,Title,Default Title,43027,5702018069660,shopify,0,deny,manual,2099.00,,TRUE,TRUE,,,active,10+,510,,
lego-43301-lego-disney-pixar-43301-toy-story-slinky-dog-bookends-1311-pieces-building-blocks,"LEGO Disney Pixar 43301 Toy Story Slinky Dog Bookends (1311 pieces), Building Blocks","BUILDABLE DISNEY AND PIXAR COLLECTIBLE – Adults ages 18 years old and up can share their love for the movie and the character with this building set inspired by the Disney and Pixar hit Toy Story
DECORATIVE BOOKENDS DISPLAY – This Toy Story Slinky Dog Bookends (43301) dachshund building set celebrates the LEGO® ǀ Disney and Pixar character with 2 books, 2 minifigure characters and more
DESK DECORATION – The building kit lets you display Slinky Dog in 2 ways: connected to the brick-built books as bookends or on his own; plus, he has a moving head and tail, and his paws can move slightly
SURPRISES AND FUNCTIONS – Book titles are Pixar shorts, stacked elements inside a book cover represent other characters, the knob turns and the book spine pulls out for surprise reveals, and more
DACHSHUND GIFT-GIVING IDEA FOR DOG LOVERS – These LEGO® ǀ Disney and Pixar dog bookends are a unique gift-giving choice for adults and movie fans 18 years old and up who love the Toy Story universe
BUILD AND DISPLAY – This office desk decoration piece is part of a range of Disney character collectibles (each sold separately) for collectors and adult fans who enjoy hands-on creative activities
3D BUILDING INSTRUCTIONS – Get ready to build like never before with the LEGO® Builder app, where you can save sets, track your progress, zoom in and rotate your set with 3D building instructions
DIMENSIONS – The 1,311-piece Disney and Pixar Toy Story room decoration features Slinky Dog, with the attached bookends, measuring over 8 in. (20 cm) high, 17 in. (43 cm) wide and 5.5 in. (14 cm) deep",LEGO,Disney Pixar,Disney Pixar,TRUE,Title,Default Title,43301,5702018066898,shopify,0,deny,manual,11999.00,,TRUE,TRUE,,,active,18+,1311,,
lego-43307-lego-disney-pixar-43307-alien-with-pizza-planet-rocket-ride-714-pieces-building-blocks,"LEGO Disney Pixar 43307 Alien with Pizza Planet Rocket Ride (714 pieces), Building Blocks","BUILDABLE DISNEY AND PIXAR COLLECTIBLE – Movie fans ages 9 years old and up can share their love for the Alien character, inspired by the classic Toy Story movie, with this building set
TOY STORY MOVIE DISPLAY – This Toy Story building set featuring Alien with Pizza Planet Rocket Ride (43307) room decor includes a rocket ride, pizza slice, hidden Easter eggs and more
POSABLE MODEL TOY – Alien can be displayed in 2 ways: standing independently or in the rocket ride; Alien has a turning, tiltable head, movable arms, ears and hands, and slightly movable feet
SURPRISES AND FUNCTIONS – The Pizza Planet-inspired rocket ride has room for Alien, a control panel sticker, turning crank that moves the ride up and down, plus openable coin dispenser
ALIEN GIFT-GIVING IDEA FOR KIDS – This LEGO® ǀ Disney and Pixar collectible display model is a fun gift-giving choice for girls, boys and movie fans 9 years old and up who love the Toy Story universe
BUILD AND DISPLAY – This Toy Story room decor merch piece is part of a range of Disney collectible characters (each sold separately) for kids and movie fans who enjoy hands-on creative activities
3D BUILDING INSTRUCTIONS – Get ready to build like never before with the LEGO® Builder app, where kids can save sets, track their progress, zoom in and rotate sets with 3D building instructions
DIMENSIONS – This 714-piece LEGO® ǀ Disney and Pixar Toy Story collection model features Alien in the rocket ride, measuring over 8.5 in. (22 cm) high, 8 in. (21 cm) long and 5.5 in. (14 cm) wide",LEGO,Disney Pixar,Disney Pixar,TRUE,Title,Default Title,43307,5702018067932,shopify,0,deny,manual,4999.00,,TRUE,TRUE,,,active,9+,714,,
lego-43015-lego-editions-sports-43015-lionel-messi-soccer-legend-958-pieces-building-blocks,"LEGO Editions Sports 43015 Lionel Messi – Soccer Legend (958 pieces), Building Blocks","LIONEL MESSI LEGO® SET – Kids create a sporting icon with the LEGO Editions Lionel Messi – Soccer Legend (43015) building set for boys and girls ages 12 and up
2 POSE OPTIONS – Assemble the Messi figure in his signature victory pose that shows him point towards the sky or in a dynamic running pose that shows him dribbling a ball across a field
MESSI MERCH – The set includes a large number 10, which is one of the player’s most iconic jersey numbers, MESSI lettering and a name plaque, plus a new co-molded face and a new soccer ball element
COLLECTIBLE SOCCER DECOR – Display the assembled Lionel Messi figure to bring a winning flair of sports decor to a bedroom or office
GIFT FOR SPORTS LOVERS – The kit makes a cool soccer gift for boys, girls and Messi fans on birthdays, holidays and other special occasions
LEGO® EDITIONS COLLECTION – Show your love for more legendary soccer stars with other sets (sold separately)
A HELPING HAND – Budding soccer stars can access instructions digitally in the LEGO® Builder app, where they can track progress and rotate their soccer model in 3D
DIMENSIONS – The 958-piece model measures over 10.5 in. (27 cm) high, 8 in. (21 cm) wide and 5.5 in (14 cm) deep in the victory pose",LEGO,Editions Sports,Editions Sports,TRUE,Title,Default Title,43015,5702018069554,shopify,0,deny,manual,6499.00,,TRUE,TRUE,,,active,12+,958,,
lego-43016-lego-editions-sports-43016-cristiano-ronaldo-soccer-legend-854-pieces-building-blocks,"LEGO Editions Sports 43016 Cristiano Ronaldo – Soccer Legend (854 pieces), Building Blocks","CRISTIANO RONALDO LEGO® SET – Make the crowd go wild with the LEGO Editions Cristiano Ronaldo – Soccer Legend (43016) building set for boys, girls and sports fans ages 12 and up
2 POSE OPTIONS – Kids can assemble the Cristiano Ronaldo figure in the soccer star’s signature celebration “Siuuu” pose or performing his iconic bicycle kick
CRISTIANO RONALDO MERCH – Packed with details, the LEGO® soccer set includes a large CR7 backdrop, a printed signature plaque and a number 7 jersey, plus a new co-molded face and soccer ball element
SOCCER DECOR – Display the assembled LEGO® Cristiano Ronaldo model in a bedroom or office as a unique piece of sports decor
GIFT FOR SPORTS LOVERS – The kit makes a great soccer gift for boys, girls and Cristiano Ronaldo fans on birthdays, holidays and special occasions
LEGO® EDITIONS COLLECTION – Show your love for other legendary soccer stars with more sports merch sets, sold separately
A HELPING HAND – Budding soccer stars can access instructions digitally in the LEGO® Builder app, where they can track progress and rotate the set in 3D
DIMENSIONS – The 854-piece model soccer figure measures over 10 in. (25 cm) high, 9 in. (23 cm) wide and 5 in. (13 cm) deep in the victory pose",LEGO,Editions Sports,Editions Sports,TRUE,Title,Default Title,43016,5702018069561,shopify,0,deny,manual,6499.00,,TRUE,TRUE,,,active,12+,854,,
lego-21268-lego-minecraft-21268-the-baby-pig-house-age-7-building-blocks-2025-238pcs,"LEGO Minecraft 21268 The Baby Pig House, Age 7+, Building Blocks, 2025 (238pcs)","• LEGO® Minecraft® toy with animals – The Baby Pig House for kids aged 7 and up is packed with hands-on fun for girls and boys with a passion for Minecraft, home-building, animals and farms• Minecraft® toy figures – Includes a hero character in a wolf skin, a baby pig, bee, an adult pig and a zombified piglin• LEGO® Minecraft® baby pig house – Kids build a pig-shaped house that comes with a farm plot where potatoes and beets grow, a field with a gate to guide the baby pig through and more• Authentic details – Inside the house, there’s a Minecraft® crafting table, a bed and a bookcase to inspire imaginative play• Minecraft® gift for kids – This LEGO® build-and-play toy is a birthday, holiday or any-day gift idea for girls and boys aged 7 and up• Expand the fun – Check out the full range of LEGO® Minecraft® toys (sold separately) for more hands-on gaming sets• Minecraft® made real – LEGO® Minecraft building toys for kids give players a different way to enjoy the game, with mobs, scenes and features brought to life with the hands-on creativity of LEGO bricks• 238-piece set – The completed playset measures over 3 in. (8 cm) high, 7.5 in. (19 cm) wide and 6 in. (16 cm) deep",LEGO,Minecraft,Minecraft,TRUE,Title,Default Title,21268,5702017815428,shopify,0,deny,manual,1499.00,,TRUE,TRUE,,,active,7+,238,,
lego-10454-lego-duplo-10454-mickey-mouse-clubhouse-and-car-age-2-building-blocks-2025-27pcs,"LEGO DUPLO 10454 Mickey Mouse Clubhouse & Car, Age 2+, Building Blocks, 2025 (27pcs)","Mickey Mouse building toy for toddlers – LEGO® DUPLO® | Disney Mickey Mouse Clubhouse & Car building kit inspires activity-packed playtimes and role play for preschool kids 2 familiar characters – Comes with LEGO® DUPLO® figure: Mickey Mouse and a Toodles computer element, plus Mickey Mouse’s trusty red buildable car toy from Disney Junior TV show Mickey Mouse Clubhouse Role-play building toy inspired by the show – Toddlers recreate Mickey Mouse Clubhouse fun by spinning the Mousekedoer wheel to send Mickey Mouse to complete activities around the Clubhouse Learn through play – Color-sorting building toy develops toddlers’ matching skills as they pair pictures with elements, and their fine motor skills as they assemble the bricks and open the window Gift idea for preschool kids – This buildable fantasy toy makes a great special-occasion gift for toddlers aged 2 plus who love buildable Mickey Mouse toys and vehicle playsets Digital building instructions – The LEGO® Builder app features a digital version of the instructions included with this buildable preschool toy, which has been tested to ensure a safe play experience Gift idea for preschool kids – This buildable fantasy toy makes a great special-occasion gift for toddlers aged 2 plus who love buildable Mickey Mouse toys and vehicle playsets Digital building instructions – The LEGO® Builder app features a digital version of the instructions included with this buildable preschool toy, which has been tested to ensure a safe play experience Buildable kids’ learning toy for preschoolers – LEGO® DUPLO® educational construction toys support social and emotional learning through fun-filled, creative playtimes Measurements – This 27-piece building kit includes a Clubhouse build measuring over 6.5 in. (16 cm) high, 9 in. (22 cm) wide and 4 in. (11 cm) deep",LEGO,DUPLO Disney TM,DUPLO Disney TM,TRUE,Title,Default Title,10454,5702017816685,shopify,0,deny,manual,1499.00,,TRUE,TRUE,,,active,2+,27,,
lego-10954-lego-duplo-10954-number-train-learn-to-count-age-1-building-blocks-2021-23pcs,"LEGO DUPLO® 10954 Number Train - Learn To Count, Age 1½+, Building Blocks, 2021 (23pcs)","Introduce toddlers to numbers with LEGO® DUPLO® My First Number Train - Learn To Count (10954). This new version of the iconic Number Train offers more colorful learning fun than ever.

Includes 10 number bricks carried in the push-along train’s carriages, plus boy, girl and dog LEGO® DUPLO® figures to inspire imaginative role play.

Toddlers improve their fine motor skills as they drive the train then load, unload, stack and sort the number bricks. As children explore play possibilities, they also discover colors and numbers.

With its cute characters and colorful, easy-to-handle bricks, the Number Train is ideal for toddlers aged 18 months and up – and for parents keen to share their preschooler’s developmental milestones.

The playset measures over 3.5 in. (10 cm) high and 18.5 in. (47 cm) long and combines easily with other LEGO® DUPLO® sets to inspire even more imaginative play possibilities.

A toddler-friendly poster-playmat includes full-sized images of the playset to show how the pieces connect to create the train.

All LEGO® DUPLO® playsets are expertly designed with imaginative features to encourage open-ended developmental play that parents can share with their little ones.

LEGO® DUPLO® playsets satisfy rigorous industry quality standards to ensure they are easy for little fingers to pick up, place and pull apart – it’s been that way since 1969.

LEGO® DUPLO® bricks and pieces are dropped, heated, crushed, twisted and analyzed to make sure they meet demanding child safety standards.",LEGO,Duplo,Duplo,TRUE,Title,Default Title,10954,5702016911114,shopify,0,deny,manual,1499.00,,TRUE,TRUE,,,active,1½+,23,,
lego-42204-lego-technic-42204-fast-and-furious-toyota-supra-mk4-age-9-building-blocks-2025-810pcs,"LEGO Technic 42204 Fast and Furious Toyota Supra MK4, Age 9+, Building Blocks, 2025 (810pcs)","Car model kit for kids aged 9 and up – Drive into action building a detailed model version of one of the most iconic cars in movie history with the LEGO® Technic™ Fast and Furious Toyota Supra MK4 set Toyota Supra toy car – This sports car toy is packed with details and fun references to delight fans of the Fast and Furious franchise, including the 2 NOS bottles in the car’s trunk A vehicle toy packed with details – Assemble the 6-cylinder engine, steering, opening hood and removable Targa top roof, then recreate favorite Fast and Furious movie scenes Build together – This LEGO® vehicle set is a great way for families and friends to share their passion for the Fast and Furious as you build the model while remembering favorite movie scenes A fun toy for kids – This set makes a creative gift idea for boys and girls who love Fast and Furious or LEGO® Technic™ cars An introduction to engineering – LEGO® Technic™ buildable model sets feature realistic movement and mechanisms to introduce young LEGO builders to the universe of engineering A fun toy for kids – This set makes a creative gift idea for boys and girls who love Fast and Furious or LEGO® Technic™ cars An introduction to engineering – LEGO® Technic™ buildable model sets feature realistic movement and mechanisms to introduce young LEGO builders to the universe of engineering Measurements – An 810-piece set with a Toyota Supra model car measuring over 3 in. (8 cm) high, 11.5 in. (30 cm) long and 5 in. (13 cm) wide",LEGO,Technic,Technic,TRUE,Title,Default Title,42204,5702017816272,shopify,0,deny,manual,4599.00,,TRUE,TRUE,,,active,9+,810,,
